State,HomeValue,Disaster Rate
AK,389868.9333,15.94390855
AL,211002.1509,74.97927845
AR,164078.289,9.070294785
AZ,362535.3991,22.98433828
CA,610135.8676,7.302686051
CO,601218.6734,13.52681183
CT,428266.8327,8.550191
DE,385593.9195,20.10877892
FL,363987.0459,5.658102621
GA,221016.2721,5.832054767
HI,869898.6468,31.44917813
IA,204240.3888,22.10544296
ID,456926.261,4.793519162
IL,154183.6454,6.964475372
IN,211312.0544,19.59979094
KS,181580.4931,23.77410524
KY,186617.5359,16.29690315
LA,167304.0574,17.32653724
MA,687121.2784,39.93980501
MD,333732.376,5.164188932
ME,355380.7966,6.695099472
MI,225221.9366,3.684818548
MN,276714.9311,10.41390047
MO,204885.8308,24.48604805
MS,157525.9609,11.10192208
MT,482094.1665,59.50557865
NC,284164.6291,31.17614522
ND,270491.5486,22.73484629
NE,232664.6138,34.87296278
NH,405676.7431,5.364311877
NJ,438031.7225,39.23848965
NM,258639.2142,4.879501983
NV,430086.3893,5.375854214
NY,248691.6429,73.51636373
OH,192346.5212,4.571544674
OK,160544.2158,42.31504899
OR,441777.027,18.68787464
PA,216515.0594,4.555527244
RI,486815.0727,20.03497013
SC,262101.142,5.490322392
SD,291527.2297,68.90856372
TN,264766.7235,9.578012215
TX,213305.4586,8.23196715
UT,512224.7871,9.843004085
VA,291143.889,69.46395438
VT,384175.4022,7.312363607
WA,467776.4826,17.34410708
WI,284468.0405,38.50269802
WV,163907.1319,7.923970347
WY,465168.1344,54.56235027
