State,HomeValue
AK,389868.9333
AL,211002.1509
AR,164078.289
AZ,362535.3991
CA,610135.8676
CO,601218.6734
CT,428266.8327
DE,385593.9195
FL,363987.0459
GA,221016.2721
HI,869898.6468
IA,204240.3888
ID,456926.261
IL,154183.6454
IN,211312.0544
KS,181580.4931
KY,186617.5359
LA,167304.0574
MA,687121.2784
MD,333732.376
ME,355380.7966
MI,225221.9366
MN,276714.9311
MO,204885.8308
MS,157525.9609
MT,482094.1665
NC,284164.6291
ND,270491.5486
NE,232664.6138
NH,405676.7431
NJ,438031.7225
NM,258639.2142
NV,430086.3893
NY,248691.6429
OH,192346.5212
OK,160544.2158
OR,441777.027
PA,216515.0594
RI,486815.0727
SC,262101.142
SD,291527.2297
TN,264766.7235
TX,213305.4586
UT,512224.7871
VA,291143.889
VT,384175.4022
WA,467776.4826
WI,284468.0405
WV,163907.1319
WY,465168.1344
