State,Expected Annual Loss
AL,75
AK,25
AZ,37.5
AR,58.92857143
CA,100
CO,53.57142857
CT,33.92857143
DE,16.07142857
FL,98.21428571
GA,82.14285714
HI,30.35714286
ID,26.78571429
IL,85.71428571
IN,50
IA,62.5
KS,46.42857143
KY,55.35714286
LA,92.85714286
ME,21.42857143
MD,44.64285714
MA,39.28571429
MI,60.71428571
MN,51.78571429
MS,71.42857143
MO,80.35714286
MT,23.21428571
NE,42.85714286
NV,57.14285714
NH,17.85714286
NJ,83.92857143
NM,28.57142857
NY,76.78571429
NC,91.07142857
ND,32.14285714
OH,48.21428571
OK,66.07142857
OR,78.57142857
PA,69.64285714
RI,12.5
SC,87.5
SD,35.71428571
TN,73.21428571
TX,96.42857143
UT,64.28571429
VT,5.357142857
VA,67.85714286
WA,89.28571429
WV,19.64285714
WI,41.07142857
WY,14.28571429
