State,HomeValue
NY,672829.1444414546
CA,950360.2575245462
IL,322672.9087005275
TX,371956.830325443
TX,307166.05398056534
VA,566342.0075063729
PA,363118.5012760223
FL,487336.3494058328
GA,380729.49714705953
MA,693663.3220488109
AZ,455688.5066051944
CA,1144598.0065069937
CA,580924.3487614879
MI,253313.78806192413
WA,735642.7049112283
MN,371247.0827767247
CA,941481.53098775
FL,375126.3645481779
CO,578369.136829835
MD,385414.4337486312
MO,251256.15109927533
FL,395512.3900529283
NC,380274.9120700177
TX,283115.9911694695
OR,543633.8756538373
CA,578065.7243789308
PA,215661.5764883396
OH,284439.55718245025
TX,451837.127283451
NV,429494.9778453141
MO,301108.43744527333
OH,312008.26349733095
IN,278883.06395354046
OH,229992.97892715945
CA,1565484.940477881
TN,438996.9804168671
VA,349129.68357046583
RI,486815.0727178292
FL,357778.34478077217
WI,346027.94103209017
OK,233193.42908193183
NC,442317.8419718453
TN,238705.27493677524
VA,366896.6704813732
KY,257535.0216925952
LA,238449.27330281943
UT,542917.0846963739
CT,364105.7271131821
NY,265156.7242938835
AL,249613.8853879154
NY,255005.03437286927
MI,324399.52027782955
AZ,348697.082937226
HI,868820.1754085078
OK,234998.33806877455
CA,395622.421630862
MA,455130.142363037
NE,286916.73398611235
CT,624505.7014902687
SC,296847.4934053948
NM,334439.4151293425
CA,354491.5152997978
NY,335346.8075464701
TN,342979.6575212632
LA,236323.01813496143
TX,184814.3246505437
CT,371446.81930152496
TX,217984.82974456056
PA,333021.57217619696
CA,869089.9612899426
SC,249417.7779951687
FL,442763.0251167656
SC,437114.7496225868
NC,254135.2241199046
CA,536469.9112777353
FL,382448.2180877668
ID,471627.5264200307
CO,455716.7601297423
AR,218955.30357972728
FL,312987.67057474627
OH,219906.00717078664
IA,281117.973789056
MA,352084.6989142197
UT,493060.8918551908
WI,410758.3548823507
NC,265357.70448762894
FL,342531.1352515707
NY,237808.91683415024
UT,526688.9983127577
OH,189113.27078225013
KS,213840.51758697737
NC,409401.6141981605
GA,230205.7076243991
FL,352272.7554876929
MS,194484.813519569
PA,284637.12736830435
WA,408682.26502482215
PA,210108.87531861648
TN,306661.8814354259
CA,464654.6892073597
PA,352095.7008901055
ME,517767.81095924176
OH,159151.7076521274
MI,231337.79945105003
AR,341266.91090122715
NC,240882.6985124118
KY,295236.9314492313
FL,304255.09662866447
CA,795723.0806356888
NV,545557.398540431
AL,304778.4837780072
FL,398023.3158045547
LA,186607.1949352667
SC,335628.5084561826
MO,254754.1790189912
CA,346138.93206145527
TX,252667.9544164224
NC,431007.7480175046
PA,282058.60400111426
CA,587072.1802902054
CA,974812.086175528
CA,834017.9030428125
OR,440522.6810692895
AL,190319.80015750104
PA,288140.91006513336
TX,218071.11288962996
TX,188659.5188081537
NH,483913.42693920137
IN,240014.3782715953
MS,211615.584158306
DE,420231.4357889596
MI,181109.6099642596
IL,149094.72085122604
OH,202472.1899574957
GA,340561.01870286587
AK,379362.4248522449
TX,165224.96431401392
LA,167825.3240137867
NJ,421181.3378072999
AL,192510.09797024095
IL,175266.0916847
FL,276011.5166327276
OR,449938.3492024781
FL,594619.036490101
MI,401887.8841166359
FL,280715.2855316724
NC,252883.7107408516
OH,148059.32697651128
CO,551485.9227548084
IL,194768.3241864236
NE,285608.8282467675
FL,303192.54889035283
CO,727478.4600788351
WI,313690.69618224865
GA,187381.5216611884
IN,221225.62967008984
SC,265395.2834766742
CO,498030.5235199524
TX,204414.3588274764
TN,274321.1269870892
VA,277969.9366534026
IN,208711.92978787224
TN,231222.4774580363
WA,426717.4202133731
NY,209493.12442143649
MD,307921.275161762
MN,242186.19571321525
WA,514340.33642562287
TX,212726.0336461612
NC,430613.3459199651
CA,883637.1242369282
FL,439316.3144462989
CA,413551.84573436336
TX,254241.74254493057
IA,219666.7959917873
NJ,360984.9140615904
WA,556445.3553832743
SD,331606.38772030285
CA,1150789.6597441763
PA,197082.036551629
CT,387993.6492659934
TX,206039.45530734363
TX,205283.6764050744
AL,218398.11602977884
TX,299406.0063602624
MI,263201.7099686189
VA,271767.1668349923
WV,141445.60020749888
WA,337785.5616909563
ND,301801.5993635028
NY,183899.63105907012
AR,185007.7368397015
WI,316058.37228548084
KS,205284.58957263324
GA,186115.10362174877
TX,271735.4850540179
MA,728732.1384229
AL,387866.8718373382
WA,605443.737557813
VT,468993.4474719195
MN,316566.70785007166
IN,264892.598276638
IL,208544.35495515983
OR,430047.1993521422
VA,441129.71393825737
LA,184224.1256728552
NM,286459.55439269886
CA,394710.9501829479
SC,524040.8258816817
GA,348038.6560195748
AZ,359133.45978929143
MO,296009.84588939924
IL,175836.8515305625
LA,172706.44349487088
LA,151224.07881359302
IN,243751.4826473778
TN,261896.9746231289
AZ,278423.22507873847
GA,383752.01511533937
NC,273136.1965705303
SC,178074.11381062082
HI,562991.5160446279
MN,301602.93033769104
WI,277288.1856271926
OR,673285.9371086246
MI,158681.07900749758
GA,237744.898376471
IN,155365.3467044182
CT,393282.2662441093
FL,341373.2070274859
MT,397904.755377718
CA,369220.2567837595
NY,420922.32933128375
FL,347242.6502395705
MO,209693.46071403017
DE,350956.4032291306
CA,345869.5789099024
TN,198608.70939432745
CA,426423.78971682064
KY,246994.6809970366
UT,523611.27887790935
MI,234057.18905162317
TX,189844.48736150545
IA,284837.04452154785
AL,312331.79850869795
TX,302513.64943515667
IL,235842.59728414004
MS,200725.6051980323
WI,274941.15186007455
WI,301263.1968260068
NC,241336.7683914634
NC,283061.92055306264
IA,190599.0709082953
ID,556218.228919916
PA,300046.65343383537
CO,292417.6295919915
VA,267620.72398678085
WI,240553.83088180705
HI,1063797.0686854362
WI,262290.12974916334
MS,173891.9761631594
IN,291680.0663377073
TX,231173.35750510055
MI,211062.91926499573
PA,327173.9686752423
FL,376057.97983232007
CA,409564.66925244033
AL,225130.1363759857
PA,272326.190601623
NJ,255519.03413153975
ID,391596.2383087655
CO,408070.77373092674
KY,226531.59392589063
MI,252453.02052601843
MI,245895.68087685548
NM,551124.224330552
NH,453345.2887846355
LA,153563.61106973398
MI,401116.1994510105
ME,267026.5584822328
FL,282280.21992487134
CA,347680.6561839126
MO,247021.73380358052
AL,203391.77049415972
AL,182364.13440835828
KY,139384.32663431336
GA,155189.03209018955
IA,206394.98855167933
TX,164130.99589408204
TX,169661.47877914275
GA,202079.7597454587
UT,443494.0704870119
AZ,621672.9427814586
NC,195117.2783247643
PA,142357.60667858887
GA,236045.4882956316
PA,283424.46980602853
TN,277383.1725434365
VA,364928.029396592
OH,138491.08553138122
WV,231248.6409871988
WI,295837.1997431473
CA,897544.7591651663
SD,354493.9799396533
SC,184817.5111457558
CA,440869.1147162871
OH,186837.3004097543
VA,321227.8196182742
MI,179842.51960437445
TX,286090.39606700995
KS,241201.2402959509
IL,132587.7042096211
PA,109334.25500029976
AR,189252.039124262
ND,330736.4608340871
LA,205261.02479956424
MA,371566.2238830547
WA,573821.9991917224
NY,169618.96120897832
FL,401768.70596471085
OR,407911.0200765461
NY,293548.3778911378
OK,136479.26595963375
TN,291000.1181078757
AZ,254661.5596609728
IA,248831.428106901
OH,179422.05167673854
VA,306770.1517261327
ME,313250.4176629416
PA,171271.9561324952
NC,251552.1875293589
NM,244040.56945633577
MO,187470.597861356
TX,227547.91832730544
WA,498048.5950646519
KY,191259.5986909021
MI,315323.29729311744
NC,133537.6486862262
KS,311120.1182747193
NC,173279.13396866588
NY,214495.9328739656
WI,285319.7099397707
OH,128286.3853918696
MT,563153.17389829
MT,707060.186043335
AL,157383.9218652116
WV,134880.6377434123
PA,220461.68570541168
GA,300224.429454495
MD,408057.3313254202
ID,359166.3133227606
TN,278439.29913680867
IN,154655.74046590732
IN,236876.0755369125
OR,337422.5365116305
ME,323478.399460186
WA,410036.75049203896
NY,138847.249481367
IL,205167.56035211336
VA,136603.19620695373
AZ,386293.7655270044
KY,237730.09265113372
TN,296267.2829204363
WI,366075.762617927
NY,338671.24860637326
MN,248751.30365051297
IL,109994.89915627585
GA,186939.65366199584
MI,168817.60085671648
WI,263976.92919791146
PA,307189.8841537018
AL,171756.98177849827
MT,642012.8702180767
VA,155046.01009755023
MN,294005.7337328479
OH,174014.1731632663
OH,150748.42954540372
CA,619073.2362234961
FL,243315.24902007435
WY,366667.1300759762
AR,247870.34766908604
MI,221071.41706726656
NC,194722.72201743536
IA,252484.9107130216
MS,120672.82019259888
NC,400589.8033255484
KY,147565.63390984453
TX,216603.8202082639
GA,223817.17076383103
TN,411238.8274102796
WA,358220.9350580012
OH,173662.1325839076
MO,213396.6649441684
AL,224991.70390521988
AK,302693.2644168513
