State,Avalance EALR,Coastal Flooding EALR,Cold Wave EALR,Drought EALR,Earthquake EALR,Hail EALR,Heatwave EALR,Hurricane EALR,Ice Storm EALR,Landslide EALR,Lightning EALR,River Floods EALR,Strong Wind EALR,Tornado EALR,Tsunami EALR,Volcanic EALR,Wildfire EALR,Winter Weather EALR
AL,0,1,2,2,2,2,4,3,2,3,4,3,3,4,0,0,1,3
AK,4,1,2,1,3,1,0,0,1,0,0,2,1,1,4,3,2,2
AZ,1,0,1,4,2,2,4,1,1,2,3,3,2,1,0,0,4,2
AR,0,0,3,3,3,3,4,1,5,2,3,3,3,3,0,0,2,5
CA,3,3,1,5,5,2,5,1,0,5,2,4,2,2,4,3,5,2
CO,5,0,4,1,1,5,2,0,2,4,4,3,3,3,0,0,3,3
CT,0,3,2,2,1,1,2,3,3,2,2,2,2,2,0,0,1,2
DE,0,3,0,1,1,1,3,2,1,1,1,2,2,1,0,0,1,3
FL,0,4,4,4,1,2,2,5,1,2,5,4,3,4,0,0,4,2
GA,0,2,2,3,2,4,3,3,4,4,4,3,3,4,0,0,2,4
HI,0,2,0,1,3,1,0,2,1,1,,2,1,1,5,2,2,1
ID,3,0,4,2,2,1,3,0,2,4,2,2,2,1,0,0,3,3
IL,0,1,5,3,3,4,5,1,4,3,4,3,5,4,0,0,1,4
IN,0,1,4,2,2,3,3,1,3,3,3,3,4,4,0,0,1,4
IA,0,0,5,4,1,4,3,1,3,3,2,4,5,4,0,0,1,5
KS,0,0,3,3,1,4,4,1,4,2,3,3,4,4,0,0,2,5
KY,0,0,3,2,3,3,3,1,4,4,3,3,4,4,0,0,2,4
LA,0,4,2,3,1,2,4,4,3,2,4,5,3,3,0,0,2,3
ME,0,3,2,2,1,1,1,2,4,2,2,2,2,1,0,0,1,2
MD,0,4,2,3,1,1,4,3,2,3,3,2,3,2,0,0,1,4
MA,0,3,2,2,2,1,2,3,3,2,3,3,2,2,0,0,1,2
MI,0,2,4,1,1,3,4,1,4,3,3,3,5,4,0,0,1,4
MN,0,0,5,3,1,4,4,1,4,3,3,3,5,4,0,0,2,5
MS,0,3,0,2,2,3,4,3,3,2,3,3,3,3,0,0,2,3
MO,0,0,4,3,3,4,5,1,5,3,4,4,4,4,0,0,2,5
MT,3,0,4,1,2,2,2,0,2,2,2,2,2,1,0,0,3,4
NE,0,0,3,3,1,4,2,0,4,2,2,3,4,3,0,0,1,5
NV,2,0,1,4,3,1,5,0,1,2,1,3,1,1,0,2,3,2
NH,2,2,2,2,1,1,2,2,3,2,2,2,2,1,0,0,1,2
NJ,0,5,1,2,2,2,4,3,4,2,3,4,5,2,0,0,2,4
NM,2,0,2,3,2,2,1,1,1,2,2,3,2,1,0,0,3,3
NY,1,4,3,2,2,2,4,3,5,4,3,4,4,3,0,0,1,4
NC,0,3,2,3,2,3,4,4,5,4,4,4,3,4,0,0,2,5
ND,0,0,5,1,1,3,2,0,4,2,1,3,3,2,0,0,2,5
OH,0,1,3,1,2,4,3,2,4,4,4,4,4,4,0,0,1,5
OK,0,0,4,3,2,4,5,1,5,2,2,3,3,4,0,0,3,4
OR,2,4,2,1,4,1,2,0,3,5,1,3,2,1,3,4,3,3
PA,1,3,3,3,1,2,5,3,3,4,4,4,4,3,0,0,1,4
RI,0,2,1,1,1,1,2,2,2,1,1,2,1,1,0,0,1,1
SC,0,2,1,2,3,2,3,4,4,2,3,2,3,3,0,0,2,3
SD,0,0,5,1,1,3,2,0,3,2,2,3,3,3,0,0,2,5
TN,0,0,2,2,3,2,4,2,3,4,4,4,4,4,0,0,1,3
TX,0,4,5,4,2,5,5,4,4,3,5,5,5,5,0,0,4,5
UT,5,0,1,1,3,1,4,0,2,4,2,3,2,1,0,0,4,4
VT,0,0,2,0,1,1,1,2,2,2,1,2,2,1,0,0,1,2
VA,0,4,2,3,1,2,3,3,3,4,3,3,3,2,0,0,2,4
WA,4,4,3,1,4,1,4,0,2,5,1,2,2,1,3,5,3,2
WV,0,0,2,1,1,2,2,2,2,4,2,3,2,1,0,0,1,3
WI,0,1,5,1,1,4,4,1,3,3,3,3,4,4,0,0,1,4
WY,5,0,3,1,1,2,1,0,1,2,2,2,2,1,0,0,2,3
